dataset,dataset_display,method_name,method_display,retained_budget,source_count,support_status,fullcache_task_score,fullcache_binary_accuracy,fullcache_correct_sources,compressed_task_score,compressed_binary_accuracy,C_to_W_rows,C_to_W_rate_given_fullcache_correct
qasper,Qasper,QuantizedCache,QuantizedCache,0.5,200,supported,29.5,29.5,59,29.5,29.5,3,5.084745762711865
qasper,Qasper,QuantizedCache,QuantizedCache,0.25,200,supported,29.5,29.5,59,8.5,8.5,42,71.1864406779661
hotpotqa,HotpotQA,StreamingLLMPress,StreamingLLM,0.75,200,supported,74.0,74.0,148,68.0,68.0,15,10.135135135135135
hotpotqa,HotpotQA,StreamingLLMPress,StreamingLLM,0.5,200,supported,74.0,74.0,148,57.49999999999999,57.49999999999999,36,24.324324324324326
hotpotqa,HotpotQA,StreamingLLMPress,StreamingLLM,0.25,200,supported,74.0,74.0,148,50.0,50.0,50,33.78378378378378
hotpotqa,HotpotQA,SnapKVPress,SnapKV,0.75,200,supported,74.0,74.0,148,71.5,71.5,5,3.3783783783783785
hotpotqa,HotpotQA,SnapKVPress,SnapKV,0.5,200,supported,74.0,74.0,148,69.0,69.0,10,6.756756756756757
hotpotqa,HotpotQA,SnapKVPress,SnapKV,0.25,200,supported,74.0,74.0,148,63.0,63.0,22,14.864864864864865
hotpotqa,HotpotQA,TOVAPress,TOVA,0.75,200,supported,74.0,74.0,148,72.5,72.5,3,2.027027027027027
hotpotqa,HotpotQA,TOVAPress,TOVA,0.5,200,supported,74.0,74.0,148,70.0,70.0,8,5.405405405405405
hotpotqa,HotpotQA,TOVAPress,TOVA,0.25,200,supported,74.0,74.0,148,65.5,65.5,17,11.486486486486488
hotpotqa,HotpotQA,KeyDiffPress,KeyDiff,0.75,200,supported,74.0,74.0,148,64.5,64.5,24,16.216216216216218
hotpotqa,HotpotQA,KeyDiffPress,KeyDiff,0.5,200,supported,74.0,74.0,148,51.5,51.5,51,34.45945945945946
hotpotqa,HotpotQA,KeyDiffPress,KeyDiff,0.25,200,supported,74.0,74.0,148,25.5,25.5,98,66.21621621621621
hotpotqa,HotpotQA,ThinKPress,ThinK,0.75,200,supported,74.0,74.0,148,68.5,68.5,16,10.81081081081081
hotpotqa,HotpotQA,ThinKPress,ThinK,0.5,200,supported,74.0,74.0,148,12.5,12.5,124,83.78378378378379
hotpotqa,HotpotQA,ThinKPress,ThinK,0.25,200,unsupported,74.0,74.0,148,,,0,
hotpotqa,HotpotQA,ChunkKVPress_Knorm,ChunkKV,0.75,200,supported,74.0,74.0,148,60.5,60.5,35,23.64864864864865
hotpotqa,HotpotQA,ChunkKVPress_Knorm,ChunkKV,0.5,200,supported,74.0,74.0,148,45.0,45.0,65,43.91891891891892
hotpotqa,HotpotQA,ChunkKVPress_Knorm,ChunkKV,0.25,200,supported,74.0,74.0,148,28.499999999999996,28.499999999999996,99,66.8918918918919
hotpotqa,HotpotQA,AdaKVPress,AdaKV,0.75,200,supported,74.0,74.0,148,71.5,71.5,5,3.3783783783783785
hotpotqa,HotpotQA,AdaKVPress,AdaKV,0.5,200,supported,74.0,74.0,148,70.0,70.0,8,5.405405405405405
hotpotqa,HotpotQA,AdaKVPress,AdaKV,0.25,200,supported,74.0,74.0,148,65.5,65.5,18,12.162162162162163
hotpotqa,HotpotQA,QuantizedCache,QuantizedCache,0.75,200,supported,74.0,74.0,148,72.5,72.5,3,2.027027027027027
hotpotqa,HotpotQA,QuantizedCache,QuantizedCache,0.5,200,supported,74.0,74.0,148,70.0,70.0,8,5.405405405405405
hotpotqa,HotpotQA,QuantizedCache,QuantizedCache,0.25,200,supported,74.0,74.0,148,21.0,21.0,107,72.2972972972973
