dataset,retained_budget,method_left,method_right,intersection,union,jaccard,left_ECov_slot,right_ECov_slot,left_delta_NLL,right_delta_NLL,left_EAR,right_EAR
Qasper,0.5,TOVAPress,ThinKPress,5,47,0.10638297872340426,0.8555555555555555,1.0,0.11729143385508581,9.444396084856855,,
Qasper,0.5,TOVAPress,ChunkKVPress_Knorm,5,23,0.21739130434782608,0.8555555555555555,0.42777777777777776,0.11729143385508581,0.5809354300873786,,
Qasper,0.5,TOVAPress,AdaKVPress,3,9,0.3333333333333333,0.8148148148148149,0.625,0.1352092207467881,0.08425014263153774,,
Qasper,0.5,TOVAPress,QuantizedCache,1,8,0.125,0.7777777777777778,1.0,0.04417625634327016,-0.03461147072128634,,
Qasper,0.5,KeyDiffPress,ThinKPress,24,46,0.5217391304347826,0.47294560185185186,1.0,0.8942943523806588,8.380769251976904,,
Qasper,0.5,KeyDiffPress,ChunkKVPress_Knorm,17,29,0.5862068965517241,0.40645424836601307,0.41503267973856206,1.0272478069722102,1.3064074334153064,,
Qasper,0.5,KeyDiffPress,AdaKVPress,6,24,0.25,0.3975694444444444,0.5815972222222222,1.1072702178048657,0.10026697071554107,,
Qasper,0.5,KeyDiffPress,QuantizedCache,2,25,0.08,0.3524305555555556,1.0,0.21716080573582025,-0.01730573536064317,,
Qasper,0.5,ThinKPress,ChunkKVPress_Knorm,22,46,0.4782608695652174,1.0,0.45454545454545453,8.783012347429993,1.3332623866036704,,
Qasper,0.5,ThinKPress,AdaKVPress,6,46,0.13043478260869565,1.0,0.5815972222222222,8.480675525278608,0.10026697071554107,,
Qasper,0.5,ThinKPress,QuantizedCache,3,46,0.06521739130434782,1.0,1.0,2.1066844170467967,-0.011537156907095447,,
Qasper,0.5,ChunkKVPress_Knorm,AdaKVPress,5,23,0.21739130434782608,0.4722222222222222,0.5770833333333334,0.8247732659706101,0.07841603769955004,,
Qasper,0.5,ChunkKVPress_Knorm,QuantizedCache,1,24,0.041666666666666664,0.3888888888888889,1.0,0.6632662751631758,-0.03461147072128634,,
Qasper,0.5,AdaKVPress,QuantizedCache,1,8,0.125,0.6180555555555556,1.0,0.032386219895127355,-0.03461147072128634,,
Qasper,0.75,StreamingLLMPress,KeyDiffPress,3,20,0.15,0.0,0.9513888888888888,1.834331280114199,0.21588084967016663,,
Qasper,0.75,StreamingLLMPress,ThinKPress,1,17,0.058823529411764705,0.0,1.0,3.005638822346711,0.05919149193489659,,
Qasper,0.75,StreamingLLMPress,ChunkKVPress_Knorm,1,25,0.04,0.0,0.9722222222222222,3.005638822346711,-0.5296121474151172,,
Qasper,0.75,SnapKVPress,ChunkKVPress_Knorm,1,14,0.07142857142857142,1.0,0.3333333333333333,0.0,0.0,,
Qasper,0.75,KeyDiffPress,ThinKPress,4,13,0.3076923076923077,0.8828125,1.0,0.3082785832677145,0.017406150519341856,,
Qasper,0.75,KeyDiffPress,ChunkKVPress_Knorm,6,19,0.3157894736842105,0.9236111111111112,0.7731481481481483,0.3489868160011535,0.28901895868628835,,
Qasper,0.75,ThinKPress,ChunkKVPress_Knorm,5,15,0.3333333333333333,1.0,0.6666666666666667,0.03250876494654995,-0.06942898157766382,,
Qasper,0.75,ChunkKVPress_Knorm,QuantizedCache,1,14,0.07142857142857142,0.3055555555555556,1.0,0.0,0.0,,
RULER-16K,0.25,StreamingLLMPress,SnapKVPress,130,768,0.16927083333333334,0.015384615384615385,0.44153000356125355,1.8863394487641938,0.5563015906964592,0.008131931119738747,0.042108181680513175
RULER-16K,0.25,StreamingLLMPress,TOVAPress,117,787,0.14866581956797967,0.01282051282051282,0.35905349794238683,2.0232636672453466,0.8883091200466046,0.006330603578900423,0.11995940392305296
RULER-16K,0.25,StreamingLLMPress,KeyDiffPress,192,813,0.23616236162361623,0.049479166666666664,0.28150740258487655,1.889065636465863,1.1370780159859986,0.023595403149011148,0.05437378974840786
