task_key,official_task_name,method_name,compression_ratio,retained_budget,n_samples,Acc,F1,CIF,ERR,ECov,DRR,delta_NLL,GPR,NA_metric_count
ruler_frequent_words_extraction,fwe,TOVAPress,0.5,0.5,100,0.9266666666666667,0.9266666666666667,0.11,1.0,1.0,N/A,-0.00019969797304993263,1.000213982366767,100
ruler_frequent_words_extraction,fwe,TOVAPress,0.75,0.25,100,0.86,0.86,0.25,1.0,1.0,N/A,0.00035249312609993535,0.9997564682605509,100
ruler_frequent_words_extraction,fwe,ThinKPress,0.25,0.75,100,0.9566666666666667,0.9566666666666667,0.04,N/A,N/A,N/A,0.0009258138690871953,0.9992010924390242,300
ruler_frequent_words_extraction,fwe,ThinKPress,0.5,0.5,100,0.0,0.0,0.84,N/A,N/A,N/A,8.1675762230055,0.001335466464186744,300
ruler_frequent_words_extraction,fwe,ThinKPress,0.75,0.25,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,500
ruler_multikey_niah,niah_multikey_1,AdaKVPress,0.25,0.75,100,1.0,1.0,0.0,N/A,N/A,N/A,9.700895428377266e-07,0.999999030022996,300
ruler_multikey_niah,niah_multikey_1,AdaKVPress,0.5,0.5,100,1.0,1.0,0.0,N/A,N/A,N/A,1.614372457079405e-06,0.9999983862108125,300
ruler_multikey_niah,niah_multikey_1,AdaKVPress,0.75,0.25,100,1.0,1.0,0.0,N/A,N/A,N/A,-7.939840527937392e-07,1.0000007948726222,300
ruler_multikey_niah,niah_multikey_1,ChunkKVPress_Knorm,0.25,0.75,100,1.0,1.0,0.0,N/A,N/A,N/A,-1.060279593322555e-05,1.0000106079780275,300
ruler_multikey_niah,niah_multikey_1,ChunkKVPress_Knorm,0.5,0.5,100,0.98,0.98,0.02,N/A,N/A,N/A,0.02332388290477634,0.9841630907450584,300
ruler_multikey_niah,niah_multikey_1,ChunkKVPress_Knorm,0.75,0.25,100,0.89,0.89,0.11,N/A,N/A,N/A,0.32752821819811617,0.8078375117113896,300
ruler_multikey_niah,niah_multikey_1,KeyDiffPress,0.25,0.75,100,1.0,1.0,0.0,1.0,1.0,1.0,7.391332023726883e-05,0.9999261281890601,0
ruler_multikey_niah,niah_multikey_1,KeyDiffPress,0.5,0.5,100,1.0,1.0,0.0,1.0,1.0,1.0,9.073200097857726e-05,0.9999092914448741,0
ruler_multikey_niah,niah_multikey_1,KeyDiffPress,0.75,0.25,100,1.0,1.0,0.0,1.0,1.0,1.0,0.0004949638334214157,0.9995062091783418,0
ruler_multikey_niah,niah_multikey_1,PyramidKVPress,0.25,0.75,100,1.0,1.0,0.0,1.0,1.0,1.0,-3.6296942107494345e-07,1.0000003630619205,0
ruler_multikey_niah,niah_multikey_1,PyramidKVPress,0.5,0.5,100,1.0,1.0,0.0,1.0,1.0,1.0,-1.2707940666345508e-06,1.0000012709448989,0
ruler_multikey_niah,niah_multikey_1,PyramidKVPress,0.75,0.25,100,1.0,1.0,0.0,1.0,1.0,1.0,2.422817479739159e-06,0.999997578028983,0
ruler_multikey_niah,niah_multikey_1,QuantizedCache,0.25,0.75,100,1.0,1.0,0.0,1.0,1.0,1.0,-1.8049386776919362e-06,1.0000018051928101,0
ruler_multikey_niah,niah_multikey_1,QuantizedCache,0.5,0.5,100,1.0,1.0,0.0,1.0,1.0,1.0,-2.4504785598411515e-06,1.0000024554185802,0
ruler_multikey_niah,niah_multikey_1,QuantizedCache,0.75,0.25,100,0.09,0.09,0.91,1.0,1.0,1.0,1.4912133471385542,0.2952329458411923,0
ruler_multikey_niah,niah_multikey_1,SnapKVPress,0.25,0.75,100,1.0,1.0,0.0,1.0,1.0,1.0,-3.6296942107494345e-07,1.0000003630619205,0
ruler_multikey_niah,niah_multikey_1,SnapKVPress,0.5,0.5,100,1.0,1.0,0.0,1.0,1.0,1.0,-1.2707940666345508e-06,1.0000012709448989,0
ruler_multikey_niah,niah_multikey_1,SnapKVPress,0.75,0.25,100,1.0,1.0,0.0,1.0,1.0,1.0,2.422817479739159e-06,0.999997578028983,0
ruler_multikey_niah,niah_multikey_1,StreamingLLMPress,0.25,0.75,100,0.81,0.81,0.19,0.81,0.81,0.69,0.4088907453390693,0.8327414417667641,0
ruler_multikey_niah,niah_multikey_1,StreamingLLMPress,0.5,0.5,100,0.54,0.54,0.46,0.54,0.54,0.4068253968253968,1.0138111252416575,0.5918954167822983,0
ruler_multikey_niah,niah_multikey_1,StreamingLLMPress,0.75,0.25,100,0.24,0.24,0.76,0.235,0.24,0.1832142857142857,1.7009993055751553,0.3225483122809727,0
ruler_multikey_niah,niah_multikey_1,TOVAPress,0.25,0.75,100,1.0,1.0,0.0,1.0,1.0,1.0,1.8121961596007098e-06,0.9999981879033963,0
ruler_multikey_niah,niah_multikey_1,TOVAPress,0.5,0.5,100,1.0,1.0,0.0,1.0,1.0,1.0,-7.252877014840564e-07,1.00000072558534,0
